Entry	Entry Name
A0A0D3AD54	A0A0D3AD54_BRAOL
A0A0D3AU36	A0A0D3AU36_BRAOL
A0A0D3AVI7	A0A0D3AVI7_BRAOL
A0A0D3AWT3	A0A0D3AWT3_BRAOL
A0A0D3AZ05	A0A0D3AZ05_BRAOL
A0A0D3BMN6	A0A0D3BMN6_BRAOL
A0A0D3C3N7	A0A0D3C3N7_BRAOL
A0A0D3CJL0	A0A0D3CJL0_BRAOL
A0A0D3CJL3	A0A0D3CJL3_BRAOL
A0A0D3CJL9	A0A0D3CJL9_BRAOL
A0A0D3CLY9	A0A0D3CLY9_BRAOL
A0A0D3CQ57	A0A0D3CQ57_BRAOL
A0A0D3CQU9	A0A0D3CQU9_BRAOL
A0A0D3CQV0	A0A0D3CQV0_BRAOL
A0A0D3CSA2	A0A0D3CSA2_BRAOL
A0A0D3D7J6	A0A0D3D7J6_BRAOL
A0A0D3D8Y4	A0A0D3D8Y4_BRAOL
A0A0D3D8Y7	A0A0D3D8Y7_BRAOL
A0A0D3DBQ7	A0A0D3DBQ7_BRAOL
A0A0D3H439	A0A0D3H439_9ORYZ
A0A0D6QZF2	A0A0D6QZF2_ARACU
A0A0D9XBK8	A0A0D9XBK8_9ORYZ
A0A0D9YLL3	A0A0D9YLL3_9ORYZ
A0A0E0B030	A0A0E0B030_9ORYZ
A0A0E0EPW0	A0A0E0EPW0_9ORYZ
A0A0E0IGS4	A0A0E0IGS4_ORYNI
A0A0E0LYW3	A0A0E0LYW3_ORYPU
A0A0E0N950	A0A0E0N950_ORYRU
A0A0E0QNI0	A0A0E0QNI0_ORYRU
A0A0F2M985	A0A0F2M985_SPOSC
A0A0F4ZB81	A0A0F4ZB81_9PEZI
A0A0F8CZ00	A0A0F8CZ00_CERFI
A0A0G2ERA8	A0A0G2ERA8_9PEZI
A0A0G2FJP4	A0A0G2FJP4_9PEZI
A0A0G4EHI8	A0A0G4EHI8_VITBC
A0A0G4EJ72	A0A0G4EJ72_VITBC
A0A0G4HX94	A0A0G4HX94_9ALVE
